V1.V,-I(V1.nA),V(un1)/-I(V1.nA),
0,0,,
0.001,8.579296903027186e-11,11655966.815266088,
0.002,1.7348698483421985e-10,11528242.3169159,
0.003,2.631240684017909e-10,11401465.545215707,
0.004,3.547472681565158e-10,11275632.990174811,
0.005,4.484005909719678e-10,11150743.555359364,
0.006,5.441290188987639e-10,11026796.571414452,
0.007,6.419785306707585e-10,10903791.428486228,
0.008,7.419961237866111e-10,10781727.482852325,
0.009000000000000001,8.44229837082822e-10,10660604.025911806,
0.01,9.48728773806968e-10,10540420.271931836,
0.011,1.0555431252021807e-9,10421175.352634728,
0.012,1.164724194614192e-9,10302868.314652748,
0.013000000000000001,1.2763244221325337e-9,10185498.118322521,
0.014,1.39039740977771e-9,10069063.637164177,
0.015,1.5069979472464545e-9,9953563.657739276,
0.016,1.6261820382274343e-9,9838996.87973449,
0.017,1.748006927300033e-9,9725361.916189976,
0.018000000000000002,1.8725311274291506e-9,9612657.293827044,
0.019,1.999814448069197e-9,9500881.453449007,
0.02,2.129918023890806e-9,9390032.7503991,
0.021,2.2629043441440545e-9,9280109.455065485,
0.022,2.3988372826722862e-9,9171109.753426947,
0.023,2.53778212859097e-9,9063031.74763473,
0.024,2.6798056176463022e-9,8955873.456627581,
0.025,2.824975964268657e-9,8849632.816777654,
0.026000000000000002,2.973362894336222e-9,8744307.682565697,
0.027,3.1250376786646234e-9,8639895.827284077,
0.028,3.280073167238557e-9,8536394.943766687,
0.029,3.4385438242019266e-9,8433802.645144647,
0.03,3.6005257636232508e-9,8332116.465627135,
0.031,3.766096786053544e-9,8231333.861306469,
0.032,3.935336415894227e-9,8131452.210986804,
0.033,4.1083259395929925e-9,8032468.817035796,
0.034,4.285148444686005e-9,7934380.906258513,
0.035,4.465888859705148e-9,7837185.630793063,
0.036000000000000004,4.650633994969553e-9,7740880.069027168,
0.037,4.8394725842808945e-9,7645461.226535265,
0.038,5.032495327542604e-9,7550926.0370353125,
0.039,5.229794934323362e-9,7457271.3633648185,
0.04,5.43146616838587e-9,7364493.998475416,
0.041,5.6376058932022395e-9,7272590.666445367,
0.042,5.8483131184779065e-9,7181558.023509351,
0.043000000000000003,6.063689047706339e-9,7091392.6591049805,
0.044,6.2838371267775e-9,7002091.096935263,
0.045,6.508863093663288e-9,6913649.796046534,
0.046,6.73887502920388e-9,6826065.151921116,
0.047,6.973983409019388e-9,6739333.497584083,
0.048,7.2143011565717135e-9,6653451.104723487,
0.049,7.459943697402119e-9,6568414.1848234,
0.05,7.711029014570566e-9,6484218.890309096,
0.051000000000000004,7.96767770532341e-9,6400861.31570377,
0.052000000000000005,8.230013039016745e-9,6318337.498796058,
0.053,8.498161016323115e-9,6236643.421817797,
0.054,8.77225042975014e-9,6155775.012631289,
0.055,9.052412925500072e-9,6075728.145925435,
0.056,9.338783066699884e-9,5996498.644420181,
0.057,9.631498398032578e-9,5918082.280078391,
0.058,9.930699511800289e-9,5840474.775324811,
0.059000000000000004,1.0236530115451405e-8,5763671.804271174,
0.06,1.0549137100603756e-8,5687668.993947006,
0.061,1.0868670613597248e-8,5612461.925535398,
0.062,1.1195284127609646e-8,5538046.135613165,
0.063,1.1529134516370437e-8,5464417.117394641,
0.064,1.1870382129507795e-8,5391570.321978654,
0.065,1.2219190869565153e-8,5319501.159597908,
0.066,1.2575728270724201e-8,5248205.00087024,
0.067,1.2940165579272226e-8,5177677.178051085,
0.068,1.3312677835852304e-8,5107912.986286618,
0.069,1.369344395953601e-8,5038907.684866884,
0.07,1.4082646833758954e-8,4970656.498478386,
0.07100000000000001,1.4480473394160336e-8,4903154.6184555525,
0.07200000000000001,1.4887114718368887e-8,4836397.204030461,
0.073,1.5302766117778154e-8,4770379.383580296,
0.074,1.5727627231355317e-8,4705096.255871974,
0.075,1.6161902121528546e-8,4640542.89130336,
0.076,1.6605799372198935e-8,4576714.333140598,
0.077,1.705953218892416e-8,4513605.598750942,
0.078,1.7523318501321882e-8,4451211.680830661,
0.079,1.7997381067742232e-8,4389527.548627415,
0.08,1.8481947582259437e-8,4328548.149156688,
0.081,1.8977250784034143e-8,4268268.408411748,
0.082,1.9483528569098944e-8,4208683.232566649,
0.083,2.0001024104620718e-8,4149787.509171843,
0.084,2.052998594569474e-8,4091576.10834192,
0.085,2.1070668154726632e-8,4034043.8839350506,
0.08600000000000001,2.1623330423459528e-8,3977185.6747236825,
0.08700000000000001,2.2188238197704924e-8,3920996.305556112,
0.088,2.2765662804837347e-8,3865470.5885084695,
0.089,2.3355881584113966e-8,3810603.324026757,
0.09,2.3959178019881528e-8,3756389.302058578,
0.091,2.4575841877735116e-8,3702823.3031741194,
0.092,2.520616934369356e-8,3649900.099676109,
0.093,2.585046316645871e-8,3597614.4566983473,
0.094,2.6509032802826797e-8,3545961.133292509,
0.095,2.718219456632169e-8,3494934.883502876,
0.096,2.78702717791214e-8,3444530.4574287278,
0.097,2.8573594927351015e-8,3394742.602274044,
0.098,2.929250181981637e-8,3345566.0633842833,
0.099,3.002733775025494e-8,3296995.585269942,
0.1,3.077845566318156e-8,3249025.912616664,
0.101,3.154621632340925e-8,3201651.791281598,
0.10200000000000001,3.2330988489325636e-8,3154867.969275861,
0.10300000000000001,3.313314909000907e-8,3108669.1977328076,
0.10400000000000001,3.395308340626917e-8,3063050.2318619234,
0.105,3.479118525569848e-8,3018005.831888178,
0.106,3.564785718182464e-8,2973530.763976607,
0.107,3.65235106474534e-8,2929619.8011419955,
0.108,3.741856623229588e-8,2886267.7241434613,
0.109,3.833345383497438e-8,2843469.322363836,
0.11,3.926861287950451e-8,2801219.3946736623,
0.111,4.022449252635199e-8,2759512.7502797293,
0.112,4.1201551888166124e-8,2718344.209558003,
0.113,4.220026025029329e-8,2677708.6048708586,
0.114,4.322109729617654e-8,2637600.7813685187,
0.115,4.4264553337749073e-8,2598015.597774649,
0.116,4.533112955093314e-8,2558947.92715599,
0.117,4.642133821635643e-8,2520392.6576760206,
0.11800000000000001,4.7535702965402493e-8,2482344.693332566,
0.11900000000000001,4.8674759031712844e-8,2444798.9546793336,
0.12,4.983905350826144e-8,2407750.379531355,
0.121,5.102914561012554e-8,2371193.9236542964,
0.122,5.224560694307888e-8,2335124.5614376324,
0.123,5.348902177813578e-8,2299537.2865517163,
0.124,5.475998733217884e-8,2264427.1125887088,
0.125,5.6059114054804126e-8,2229789.0736874356,
0.126,5.73870259215226e-8,2195618.2251421497,
0.127,5.874436073345762e-8,2161909.643995286,
0.128,6.013177042368332e-8,2128658.429614211,
0.129,6.154992137035021e-8,2095859.7042520642,
0.13,6.299949471674902e-8,2063508.6135927096,
0.131,6.448118669846649e-8,2031600.327279887,
0.132,6.599570897778956e-8,2000130.039430651,
0.133,6.75437889855195e-8,1969092.9691331568,
0.134,6.912617027035947e-8,1938484.3609288987,
0.135,7.074361285604364e-8,1908299.4852794958,
0.136,7.239689360637907e-8,1878533.6390181347,
0.137,7.408680659837662e-8,1849182.1457857508,
0.138,7.581416350364869e-8,1820240.3564521095,
0.139,7.757979397825775e-8,1791703.6495218803,
0.14,7.93845460612035e-8,1763567.4315258225,
0.14100000000000001,8.122928658173889e-8,1735827.137397242,
0.14200000000000002,8.311490157571103e-8,1708478.230833846,
0.14300000000000002,8.504229671112748e-8,1681516.204645129,
0.14400000000000002,8.701239772315191e-8,1654936.5810854454,
0.145,8.902615085873767e-8,1628734.9121729287,
0.146,9.108452333111384e-8,1602906.7799943946,
0.147,9.31885037843407e-8,1577447.7969964114,
0.148,9.533910276815916e-8,1552353.6062626785,
0.149,9.753735322336143e-8,1527619.8817778933,
0.15,9.978431097791566e-8,1503242.328678284,
0.151,1.0208105525408414e-7,1479216.6834889636,
0.152,1.0442868918677743e-7,1455538.7143482976,
0.153,1.0682834035339321e-7,1432204.22121947,
0.154,1.0928116131539683e-7,1409209.0360893945,
0.155,1.1178833017189904e-7,1386549.0231552217,
0.156,1.1435105112550215e-7,1364220.078998552,
0.157,1.1697055506068205e-7,1342218.1327476087,
0.158,1.1964810013498625e-7,1320539.1462275237,
0.159,1.2238497238333148e-7,1299179.1140989414,
0.16,1.2518248633569e-7,1278134.0639851424,
0.161,1.2804198564846336e-7,1257400.0565878616,
0.162,1.309648437498448e-7,1236973.1857920226,
0.163,1.3395246449948116e-7,1216849.5787595708,
0.164,1.370062828627516e-7,1197025.3960126035,
0.165,1.401277655999863e-7,1177496.8315060048,
0.166,1.4331841197095572e-7,1158260.1126897836,
0.167,1.4657975445497066e-7,1139311.5005613032,
0.168,1.499133594869366e-7,1120647.2897076227,
0.169,1.5332082820971743e-7,1102263.8083381345,
0.17,1.568037972431704e-7,1084157.418307702,
0.171,1.6036393947021817e-7,1066324.5151305173,
0.17200000000000001,1.6400296484034175e-7,1048761.5279848352,
0.17300000000000001,1.6772262119087345e-7,1031464.9197088373,
0.17400000000000002,1.7152469508648916e-7,1014431.1867877842,
0.17500000000000002,1.7541101267730083e-7,997656.8593326751,
0.176,1.7938344057596225e-7,981138.5010506056,
0.177,1.8344388675420925e-7,964872.7092070219,
0.178,1.8759430145926334e-7,948856.1145800755,
0.179,1.9183667815054295e-7,933085.381407254,
0.18,1.9617305445712666e-7,917557.2073245092,
0.181,2.0060551315643446e-7,902268.3232980449,
0.182,2.051361831745895e-7,887215.4935489927,
0.183,2.0976724060895102e-7,872395.5154711186,
0.184,2.145009097732973e-7,857805.219541804,
0.185,2.1933946426617247e-7,843441.4692264366,
0.186,2.2428522806290128e-7,829301.160876435,
