V1.V,I(D1.nA),V(un1)/I(D1.nA),
0,0,,
0.01,9.476810243991814e-10,10552073.68570019,
0.02,2.1280855770501718e-9,9398118.297349129,
0.03,3.59810344571409e-9,8337725.819343727,
0.04,5.4284152660198794e-9,7368633.024519521,
0.05,7.707221954320086e-9,6487421.835824228,
0.06,1.0544395110643002e-8,5690226.833347595,
0.07,1.4082646387901095e-8,4970656.65584982,
0.08,1.848194770212307e-8,4328548.121084132,
0.09,2.3959178171601206e-8,3756389.278271528,
0.1,3.0778455852087526e-8,3249025.8926754305,
0.11,3.926861311469686e-8,2801219.3778962586,
0.12,4.983905380108127e-8,2407750.365385078,
0.13,6.299949508131653e-8,2063508.6016515314,
0.14,7.938454651509843e-8,1763567.4214423196,
0.15,9.978431154302532e-8,1503242.320164954,
0.16,1.2518248703926464e-7,1278134.056801528,
0.17,1.5680379811913708e-7,1084157.4122511793,
0.18,1.9617305554772568e-7,917557.2022234672,
0.19,2.451886835447916e-7,774913.4146531293,
0.2,3.0621426355163735e-7,653137.4393873515,
0.21,3.821925082630062e-7,549461.3197794245,
0.22,4.767871618209961e-7,461421.82008373016,
0.23,5.945596686707682e-7,386840.904486847,
0.24,7.411891301192461e-7,323803.9931338276,
0.25,9.237461549550367e-7,270637.12109542557,
0.26,0.0000011510338092214839,225883.89490996295,
0.27,0.0000014340121056805733,188282.9293633192,
0.28,0.0000017863265016520958,156746.26096687262,
0.29,0.0000022249658889580783,130339.07685470319,
0.3,0.0000027710818034108815,108260.96856135198,
0.31,0.0000034510083546284583,89828.8175930467,
0.32,0.000004297532054620814,74461.34105176202,
0.33,0.00000535147277198415,61665.267499370435,
0.34,0.0000066636520382645234,51023.072340456325,
0.35000000000000003,0.000008297343606814278,42182.174993037406,
0.36,0.000010331324411802932,34845.48404933651,
0.37,0.000012863673015533342,28763.16892952828,
0.38,0.000016016498659165894,23725.535030250463,
0.39,0.000019941828879174364,19556.88228812777,
0.4,0.000024828939476573396,16110.232995549732,
0.41000000000000003,0.000030913480111804514,13262.822513581668,
0.42,0.00003848883528297087,10912.255382948057,
0.43,0.000047920268079337526,8973.238615612197,
0.44,0.00005966252804502763,7374.813210528552,
