V1.V,I(D1.nA),V(D),
0,0,0,
0.001,8.578552834846015e-11,0.0009999142144716516,
0.002,1.734716052015188e-10,0.0019998265283947985,
0.003,2.631002256336945e-10,0.0029997368997743664,
0.004,3.5471441085701413e-10,0.003999645285589143,
0.005,4.4835813922585596e-10,0.004999551641860774,
0.006,5.440763629115455e-10,0.005999455923637089,
0.007,6.419150293457063e-10,0.0069993580849706544,
0.008,7.41921103228696e-10,0.007999258078896771,
0.009000000000000001,8.441425890428483e-10,0.008999155857410958,
0.01,9.48628554049702e-10,0.00999905137144595,
0.011,1.055429151804177e-9,0.010998944570848195,
0.012,1.164595646174424e-9,0.011998835404353826,
0.013000000000000001,1.2761804359037732e-9,0.012998723819564097,
0.014,1.390237079717388e-9,0.013998609762920283,
0.015,1.5068203219736204e-9,0.014998493179678026,
0.016,1.6259861188930303e-9,0.015998374013881107,
0.017,1.7477916653303727e-9,0.01699825220833467,
0.018000000000000002,1.8722954222248624e-9,0.017998127704577777,
0.019,1.9995571445309556e-9,0.01899800044285547,
0.02,2.1296379098846576e-9,0.019997870362090116,
0.021,2.2626001478058543e-9,0.020997737399852195,
0.022,2.3985076696327045e-9,0.021997601492330366,
0.023,2.53742569905277e-9,0.022997462574300947,
0.024,2.6794209033245697e-9,0.023997320579096676,
0.025,2.824561425175676e-9,0.024997175438574826,
0.026000000000000002,2.9729169154779633e-9,0.025997027083084524,
0.027,3.1245585665092e-9,0.02699687544143349,
0.028,3.2795591460854645e-9,0.027996720440853915,
0.029,3.437993032356229e-9,0.028996562006967645,
0.03,3.5999362493904787e-9,0.02999640006375061,
0.031,3.765466503592024e-9,0.030996234533496408,
0.032,3.934663220815649e-9,0.031996065336779185,
0.033,4.10760758440265e-9,0.0329958923924156,
0.034,4.284382574035184e-9,0.03399571561742597,
0.035,4.465073005367748e-9,0.034995534926994636,
0.036000000000000004,4.6497655706440044e-9,0.03599535023442936,
0.037,4.838548880128913e-9,0.03699516145111987,
0.038,5.031513504491492e-9,0.03799496848649551,
0.039,5.228752018096583e-9,0.0389947712479819,
0.04,5.4303590432611125e-9,0.03999456964095674,
0.041,5.6364312955373144e-9,0.040994363568704464,
0.042,5.8470676298424954e-9,0.04199415293237016,
0.043000000000000003,6.06236908780311e-9,0.0429939376309122,
0.044,6.282438945973135e-9,0.043993717561054024,
0.045,6.507382765238989e-9,0.04499349261723476,
0.046,6.7373084411889715e-9,0.04599326269155881,
0.047,6.97232625571087e-9,0.04699302767374429,
0.048,7.2125489296304135e-9,0.04799278745107037,
0.049,7.458091676564027e-9,0.04899254190832344,
0.05,7.709072257958138e-9,0.049992290927742045,
0.051000000000000004,7.965611039259524e-9,0.050992034388960744,
0.052000000000000005,8.227831047466494e-9,0.05199177216895254,
0.053,8.495858029741732e-9,0.05299150414197026,
0.054,8.769820513530869e-9,0.05399123017948647,
0.055,9.049849867853732e-9,0.05499095015013215,
0.056,9.336080365990318e-9,0.05599066391963401,
0.057,9.628649249533716e-9,0.05699037135075047,
0.058,9.927696793865515e-9,0.05799007230320614,
0.059000000000000004,1.0233366375067554e-8,0.058989766633624936,
0.06,1.0545804538242276e-8,0.059989454195461756,
0.061,1.086516106749147e-8,0.06098913483893251,
0.062,1.1191589057171769e-8,0.06198880841094283,
0.063,1.1525244984975092e-8,0.06298847475501503,
0.064,1.1866288786466228e-8,0.06398813371121354,
0.065,1.2214883931244147e-8,0.06498778511606876,
0.066,1.2571197500907405e-8,0.0659874288024991,
0.067,1.2935400268546116e-8,0.06698706459973146,
0.068,1.3307666780079663e-8,0.06798669233321993,
0.069,1.368817543741241e-8,0.0689863118245626,
0.07,1.4077108583324116e-8,0.06998592289141668,
0.07100000000000001,1.447465258819225e-8,0.07098552534741182,
0.07200000000000001,1.4880997938740425e-8,0.07198511900206127,
0.073,1.5296339328702003e-8,0.0729847036606713,
0.074,1.5720875751315533e-8,0.07398427912424868,
0.075,1.6154810593957403e-8,0.07498384518940604,
0.076,1.6598351734953277e-8,0.07598340164826504,
0.077,1.7051711642276923e-8,0.07698294828835772,
0.078,1.751510747455276e-8,0.07798248489252545,
0.079,1.7988761184153936e-8,0.07898201123881585,
0.08,1.8472899622756778e-8,0.07998152710037724,
0.081,1.896775464899081e-8,0.08098103224535101,
0.082,1.9473563238447956e-8,0.08198052643676156,
0.083,1.9990567596231413e-8,0.08298000943240377,
0.084,2.0519015271905363e-8,0.0839794809847281,
0.085,2.1059159276831663e-8,0.08497894084072317,
0.08600000000000001,2.161125820419885e-8,0.08597838874179581,
0.08700000000000001,2.2175576351632364e-8,0.08697782442364838,
0.088,2.2752383846413873e-8,0.08797724761615358,
0.089,2.3341956773531568e-8,0.08897665804322646,
0.09,2.394457730638122e-8,0.08997605542269362,
0.091,2.456053384040924e-8,0.09097543946615959,
0.092,2.519012112972563e-8,0.09197480987887027,
0.093,2.5833640426395356e-8,0.0929741663595736,
0.094,2.6491399623060353e-8,0.09397350860037694,
0.095,2.716371339864243e-8,0.09497283628660136,
0.096,2.7850903366863354e-8,0.09597214909663314,
0.097,2.855329822842867e-8,0.09697144670177157,
0.098,2.9271233926222997e-8,0.09797072876607378,
0.099,3.0005053803988655e-8,0.09896999494619602,
0.1,3.075510876834886e-8,0.09996924489123166,
0.101,3.1521757454411327e-8,0.1009684782425456,
0.10200000000000001,3.230536639493853e-8,0.10196769463360507,
0.10300000000000001,3.310631019320942e-8,0.1029668936898068,
0.10400000000000001,3.392497169943387e-8,0.10396607502830058,
0.105,3.4761742191219416e-8,0.10496523825780878,
0.106,3.561702155781277e-8,0.10596438297844218,
0.107,3.649121848831039e-8,0.10696350878151169,
0.108,3.7384750663907455e-8,0.10796261524933609,
0.109,3.829804495429634e-8,0.1089617019550457,
0.11,3.9231537618422684e-8,0.10996076846238158,
0.111,4.018567450929378e-8,0.11095981432549071,
0.112,4.1160911283477657e-8,0.11195883908871652,
0.113,4.215771361482101e-8,0.11295784228638518,
0.114,4.3176557413052154e-8,0.11395682344258695,
0.115,4.421792904674149e-8,0.11495578207095326,
0.116,4.5282325571341374e-8,0.11595471767442866,
0.117,4.6370254961972115e-8,0.11695362974503803,
0.11800000000000001,4.748223635107907e-8,0.11795251776364893,
0.11900000000000001,4.861880027140497e-8,0.1189513811997286,
0.12,4.978048890398601e-8,0.11995021951109601,
0.121,5.096785633147694e-8,0.12094903214366852,
0.122,5.2181468796916323e-8,0.12194781853120308,
0.123,5.342190496793187e-8,0.12294657809503207,
0.124,5.4689756206649513e-8,0.12394531024379335,
0.125,5.59856268452924e-8,0.12494401437315471,
0.126,5.731013446760858e-8,0.1259426898655324,
0.127,5.866391019646034e-8,0.12694133608980354,
0.128,6.004759898711742e-8,0.12793995240101289,
0.129,6.146185992719766e-8,0.1289385381400728,
0.13,6.290736654276929e-8,0.12993709263345724,
0.131,6.438480711082328e-8,0.13093561519288918,
0.132,6.589488497843465e-8,0.13193410511502157,
0.133,6.743831888880725e-8,0.1329325616811112,
0.134,6.901584331375776e-8,0.13393098415668625,
0.135,7.062820879388809e-8,0.13492937179120612,
0.136,7.227618228505817e-8,0.13592772381771495,
0.137,7.396054751299119e-8,0.13692603945248702,
0.138,7.568210533459574e-8,0.13792431789466542,
0.139,7.744167410722591e-8,0.1389225583258928,
0.14,7.924009006568534e-8,0.13992075990993433,
0.14100000000000001,8.107820770694719e-8,0.14091892179229307,
0.14200000000000002,8.295690018289559e-8,0.14191704309981712,
0.14300000000000002,8.487705970142146e-8,0.1429151229402986,
0.14400000000000002,8.683959793581719e-8,0.1439131604020642,
0.145,8.884544644230385e-8,0.1449111545535577,
0.146,9.089555708702291e-8,0.14590910444291297,
0.147,9.299090248066077e-8,0.14690700909751933,
0.148,9.513247642356505e-8,0.14790486752357643,
0.149,9.732129435860438e-8,0.1489026787056414,
0.15,9.955839383432586e-8,0.14990044160616567,
0.151,1.0184483497713282e-7,0.15089815516502286,
